"location_name","center_lat","center_lng","bounds_northeast_lat","bounds_northeast_lng","bounds_southwest_lat","bounds_southwest_lng","viewport_northeast_lat","viewport_northeast_lng","viewport_southwest_lat","viewport_southwest_lng"
"Puertollano","38.6884458","-4.1078877","38.7101568","-4.0837162","38.6763223","-4.1229266","38.7101568","-4.0837162","38.6763223","-4.1229266"
"Conceição do Araguaia","-8.2625656","-49.2694666","","","","","-8.261216619708499","-49.26811761970851","-8.263914580291503","-49.2708155802915"
"Bataiporã","-22.2976082","-53.2686269","","","","","-22.2962592197085","-53.2672779197085","-22.2989571802915","-53.2699758802915"
"Itaú de Minas","-20.7436991","-46.7505432","-20.7324421","-46.7374975","-20.7589857","-46.7659965","-20.7324421","-46.7374975","-20.7589857","-46.7659965"
"Carmo do Rio Claro","-20.9732514","-46.119125","-20.7969209","-45.88720800000001","-21.192181","-46.3582991","-20.7969209","-45.88720800000001","-21.192181","-46.3582991"
"Marseille 10","43.2722531","5.4285394","43.2916973","5.4598412","43.2569362","5.388739","43.2916973","5.4598412","43.2569362","5.388739"
"Igarapé Miri","-1.9767683","-48.9606311","-1.9650222","-48.9467358","-1.9893893","-48.9738317","-1.9650222","-48.9467358","-1.9893893","-48.9738317"
"Andradas","-22.0710206","-46.5734158","-21.925476","-46.42711500000001","-22.1892639","-46.723443","-21.925476","-46.42711500000001","-22.1892639","-46.723443"
"Igaci","-9.5362045","-36.6316765","-9.4821415","-36.5329266","-9.6556068","-36.8416357","-9.4821415","-36.5329266","-9.6556068","-36.8416357"
"Valinhos","-22.9691172","-46.9958185","-22.9267239","-46.962789","-23.0453407","-47.0748115","-22.9267239","-46.962789","-23.0453407","-47.0748115"
"Brotas","-22.2807913","-48.1255491","-22.0732246","-47.8794698","-22.5069258","-48.3299783","-22.0732246","-47.8794698","-22.5069258","-48.3299783"
"Union , California","38.32139","-122.30889","","","","","38.3227389802915","-122.3075410197085","38.3200410197085","-122.3102389802915"
"Angatuba","-23.4919878","-48.414215","-23.4772157","-48.3877472","-23.513929","-48.4336564","-23.4772157","-48.3877472","-23.513929","-48.4336564"
"Forquilha","-3.7995461","-40.2635707","","","","","-3.798197119708497","-40.26222171970849","-3.800895080291502","-40.26491968029149"
"Carson, California","33.8316745","-118.281693","33.886268","-118.205496","33.792772","-118.2888821","33.886268","-118.205496","33.792772","-118.2888821"
